Program Name,City,Country,Region,Cost
College Year in Athens-Summer Program,Stockholm,Sweden,Europe,
College Year in Athens-Summer Program,Thessaloniki,Greece,Europe,
Conversational Japanese in Tokyo,Tokyo,Japan,Asia,
"DIS - Study Abroad in Copenhagen, Denmark",Copenhagen,Denmark,Europe,30840
"DIS - Study Abroad in Stockholm, Sweden",Stockholm,Sweden,Europe,30840
DIS Copenhagen - Summer Courses,Copenhagen,Denmark,Europe,
DIS Stockholm - Summer Courses,Stockholm,Sweden,Europe,
DTU - Technical University of Denmark (GE3 - Engineering),Lyngby,Denmark,Europe,
ESM - Central Conservatory of Music,Beijing,China,Asia,
ESM - China Conservatory of Music,Beijing,China,Asia,
ESM - Conservatoire National SupŽrieur de Musique et de Danse de Paris,Paris,France,Europe,
ESM - Hochschule fŸr Musik Freiburg,Freiburg,Germany,Europe,0
ESM - Hochschule fŸr Musik WŸrzburg,WŸrzburg,Germany,Europe,
ESM - Mahidol College of Music,Bangkok,Thailand,Asia,
ESM - Royal Birmingham Conservatoire,Birmingham,United Kingdom,Europe,
ESM - Royal College of Music,London,United Kingdom,Europe,
ESM - Sibelius Academy,Helsinki,Finland,Europe,
ESM - The Royal Danish Academy of Music,Copenhagen,Denmark,Europe,
ESM - UniversitŠt fŸr Musik und darstellende Kunst Wien,Vienna,Austria,Europe,
Florence: Lisio Italian Studies,Florence,Italy,Europe,14995
French in France (Faculty Led),Rennes,France,Europe,
German in Germany (Faculty Led),Berlin,Germany,Europe,
Greene Center Internship Abroad,Multiple,Multiple,Multiple,
Hanyang University (GE3 - Engineering),Seoul,South Korea,Asia,0
Hong Kong Polytechnic University (GE3 - Engineering),Hong Kong,China,Asia,
IES Abroad Amsterdam - Psychology & Sciences,Amsterdam,Netherlands,Europe,23950
IES Abroad Amsterdam - Social Sciences & Humanities,Amsterdam,Netherlands,Europe,23950
IES Abroad Amsterdam - Law & Criminology,Amsterdam,Netherlands,Europe,22874
IES Abroad Auckland Direct Enrollment - University of Auckland,Auckland,New Zealand,Australia/Pacific Islands,22950
IES Abroad Barcelona - Engineering,Barcelona,Spain,Europe,20137
IES Abroad Barcelona - Liberal Arts & Business,Barcelona,Spain,Europe,20995
"IES Abroad Berlin - Language, Culture & Politics",Berlin,Germany,Europe,21705
IES Abroad Buenos Aires - Latin American Societies & Cultures,Buenos Aires,Argentina,South America,16990
IES Abroad Cape Town Ð Engineering & Science,Cape Town,South Africa,Africa,
IES Abroad Cape Town - University of Cape Town,Cape Town,South Africa,Africa,20950
IES Abroad Dublin Direct Enrollment - Trinity College,Dublin,Ireland,Europe,27100
IES Abroad Dublin Summer - Internship,Dublin,Ireland,Europe,
IES Abroad Freiburg - Environmental Studies & Sustainability,Freiburg,Germany,Europe,24150
"IES Abroad Freiburg - European Union: Politics, Law & Economics",Freiburg,Germany,Europe,24918
IES Abroad Freiburg - Language & Area Studies,Freiburg,Germany,Europe,21990
IES Abroad Freiburg Summer - European Union: Politics & Economics,Freiburg,Germany,Europe,
IES Abroad Granada - Study in Granada,Granada,Spain,Europe,
IES Abroad London - Health Practice & Policy,London,United Kingdom,Europe,24636
IES Abroad London - Study London,London,United Kingdom,Europe,22432
IES Abroad London Direct Enrollment - University College London,London,United Kingdom,Europe,25990
"IES Abroad Madrid - Business, Economics & Social Sciences",Madrid,Spain,Europe,22189
"IES Abroad Madrid - Engineering, Math & Science",Madrid,Spain,Europe,22990
IES Abroad Madrid - Language & Area Studies,Madrid,Spain,Europe,21850
IES Abroad Milan - Business Studies,Milan,Italy,Europe,21913
IES Abroad Nagoya Direct Enrollment - Nanzan University,Nagoya,Japan,Asia,19737
IES Abroad Oxford Direct Enrollment - St. Catherine's College,Oxford,United Kingdom,Europe,27800
IES Abroad Paris - Business & International Affairs,Paris,France,Europe,20959
IES Abroad Paris - French Studies,Paris,France,Europe,20959
IES Abroad Rome - Language & Area Studies,Rome,Italy,Europe,21290
IES Abroad Tokyo - Language & Culture,Tokyo,Japan,Asia,26779
Institut Teknologi Bandung (GE3 - Engineering),Bandung,Indonesia,Asia,
Jagiellonian University(Exchange),Krakow,Poland,Europe,
KAIST - Korea Advanced Institute of Science & Technology (GE3 - Engineering),Daejeon,South Korea,Asia,
Khalifa University of Science and Technology (GE3 - Engineering),Abu Dhabi,United Arab Emirates,Middle East,
Kingston University,London,United Kingdom,Europe,7362
Ko University,Istanbul,Turkey,Middle East,
Kyoto University(Exchange),Kyoto,Japan,Asia,0
Kyoto University,Kyoto,Japan,Asia,0
La Salle - Universitat Ramon Llull,Barcelona,Spain,Europe,
Lisio Italian Studies: Florence Creative Writing Workshop,Florence,Italy,Europe,
"Lisio Studies: Sustainability, Food, and Local Cultures",Bra,Italy,Europe,
"Lisio Studies: Sustainability, Food, and Local Cultures",Arezzo,Italy,Europe,
"Lisio Studies: Sustainability, Food, and Local Cultures",Naples,Italy,Europe,
Lund University (GE3 - Engineering),Lund,Sweden,Europe,
Mahidol University International College (MUIC),Salaya,Thailand,Asia,0
Meiji Gakuin University(Exchange),Tokyo,Japan,Asia,0
Meiji Gakuin University,Tokyo,Japan,Asia,0
Nanyang Technological University(Exchange),Singapore,Singapore,Asia,0
Nanyang Technological University,Singapore,Singapore,Asia,0
Nanyang Technological University - Summer Program,Singapore,Singapore,Asia,
Non-Rochester Program (Non-Credit),Multiple,Multiple,Multiple,0
Non-Rochester SMD Student Travel (Credit-Bearing Elective),Multiple,Multiple,Multiple,0
Non-Rochester SMD Student Travel (Non-Credit),Multiple,Multiple,Multiple,0
Non-Rochester Study Abroad Program,Multiple,Multiple,Multiple,0
Non-Rochester Summer Program,Multiple,Multiple,Multiple,
POSTECH (Pohang University of Science & Technology) (GE3 - Engineering),Pohang-si,South Korea,Asia,
Queen Mary University of London,London,United Kingdom,Europe,11000
Queen Mary University of London Summer School,London,United Kingdom,Europe,
Seoul National University(Exchange),Seoul,South Korea,Asia,0
Seoul National University,Seoul,South Korea,Asia,0
Seoul National University - International Summer Program,Seoul,South Korea,Asia,
SMD Medical Research - Full Year,Multiple,Multiple,Multiple,
SMD Student Travel (Credit-Bearing Elective),Multiple,Multiple,Multiple,0
Sogang University,Seoul,South Korea,Asia,3940
Summer in Korea (Faculty Led),Seoul,South Korea,Asia,
Summer Undergraduate Research Programme (SURP) at Chinese University Hong Kong,Hong Kong,China,Asia,
Tecnol—gico de Monterrey (GE3 - Engineering),Monterrey,Mexico,North America,
The Intern Group: Global Internship and Cultural Immersion Program (Dublin),Dublin,Ireland,Europe,0
The Intern Group: Global Internship and Cultural Immersion Program (London),London,United Kingdom,Europe,0
The Intern Group: Global Internship and Cultural Immersion Program (Madrid),Madrid,Spain,Europe,
The Intern Group: Global Internship and Cultural Immersion Program (Melbourne),Melbourne,Australia,Australia/Pacific Islands,0
The Intern Group: Remote Internship Program,Rochester,United States,North America,0
Theatre in England (Faculty Led),London,United Kingdom,Europe,
Universidad Del Pa’s Vasco (GE3 - Engineering),Bilbao,Spain,Europe,
Universidad Panamericana IPADE Business School (Simon),Monterrey,Mexico,North America,
Universidad Panamericana IPADE Business School (Simon),Mexico City,Mexico,Latin America,
Universiti Teknologi Petronas,Seri Iskandar,Malaysia,Asia,
University College Dublin,Dublin,Ireland,Europe,7350
University of Bristol(Exchange),Bristol,United Kingdom,Europe,14550
University of Bristol,Bristol,United Kingdom,Europe,14550
University of Canterbury,Christchurch,New Zealand,Australia/Pacific Islands,
University of Lausanne(Exchange),Lausanne,Switzerland,Europe,0
University of Leeds(Exchange),Leeds,United Kingdom,Europe,0
University of Leeds,Leeds,United Kingdom,Europe,0
University of Leeds International Summer School(Exchange),Leeds,United Kingdom,Europe,
University of Melbourne (GE3 - Engineering),Melbourne,Australia,Australia/Pacific Islands,
University of Newcastle,Callaghan,Australia,Oceania,0
University of Newcastle (GE3 - Engineering),Newcastle,Australia,Australia/Pacific Islands,0
University of Nicosia Global Semesters | Semester in Cyprus,Nicosia,Cyprus,Middle East,13300
University of Rennes 1 - Economics(Exchange),Rennes,France,Europe,
University of Sheffield (GE3 - Engineering),Sheffield,United Kingdom,Europe,
University of Sussex(Exchange),Brighton,United Kingdom,Europe,
University of Sydney - Spring Friendly,Sydney,Australia,Australia/Pacific Islands,
University of Sydney Exchange - Direct Enrollment(Exchange),Sydney,Australia,Australia/Pacific Islands,12956
University of Sydney Exchange - Direct Enrollment,Sydney,Australia,Australia/Pacific Islands,12956
University of Twente (GE3 - Engineering),Enschede,Netherlands,Europe,
University of Western Australia - UWAE(Exchange),Perth,Australia,Australia/Pacific Islands,
University of York (Exchange),York,United Kingdom,Europe,0
University of York,York,United Kingdom,Europe,0
University of York - Summer School,York,United Kingdom,Europe,
Victoria University of Wellington(Exchange),Wellington,New Zealand,Australia/Pacific Islands,
Waseda University(Exchange),Tokyo,Japan,Asia,0
Waseda University - Summer Session,Tokyo,Japan,Asia,
Yonsei University(Exchange),Seoul,South Korea,Asia,0
Yonsei University - International Summer School,Seoul,South Korea,Asia,
IES Abroad Amsterdam - Business & Economics,Amsterdam,Netherlands,Europe,23950
IES Abroad Amsterdam Direct Enrollment - Conservatorium van Amsterdam,Amsterdam,Netherlands,Europe,23950
IES Abroad Barcelona - Arts & Culture,Barcelona,Spain,Europe,20995
IES Abroad Barcelona - Full-Time Semester Internship,Barcelona,Spain,Europe,9639
IES Abroad Barcelona - Journalism & Communications,Barcelona,Spain,Europe,20995
IES Abroad Barcelona - Political Science & International Relations,Barcelona,Spain,Europe,20995
IES Abroad Berlin - Security Studies & International Affairs,Berlin,Germany,Europe,21705
IES Abroad Berlin - Urban Studies & Social Science,Berlin,Germany,Europe,21705
IES Abroad Buenos Aires - Advanced Spanish Immersion,Buenos Aires,Argentina,South America,16500
IES Abroad Buenos Aires - Society & Culture,Buenos Aires,Argentina,South America,16500
IES Abroad Cape Town - Engineering,Cape Town,South Africa,Africa,20137
"IES Abroad Cape Town - Health, Culture & Development",Cape Town,South Africa,Africa,20950
IES Abroad Christchurch Direct Enrollment - University of Canterbury,Christchurch,New Zealand,Australia/Pacific Islands,21415
IES Abroad Dublin - Engineering,Dublin,Ireland,Europe,20137
IES Abroad Dublin - Full-Time Semester Internship,Dublin,Ireland,Europe,10950
"IES Abroad Dublin - History, Politics & Social Change",Dublin,Ireland,Europe,19370
IES Abroad Dublin - Writers Program,Dublin,Ireland,Europe,19370
IES Abroad Dublin Direct Enrollment - Dublin City University,Dublin,Ireland,Europe,20521
IES Abroad Dublin Direct Enrollment - National Theatre School of Ireland-Gaiety School of Acting,Dublin,Ireland,Europe,21550
IES Abroad Dublin Direct Enrollment - Trinity College Dublin,Dublin,Ireland,Europe,27100
"IES Abroad Freiburg - European Union - Politics, Law & Economics",Freiburg,Germany,Europe,24918
IES Abroad Granada - Liberal Arts & Language,Granada,Spain,Europe,16990
IES Abroad London - Business,London,United Kingdom,Europe,22432
IES Abroad London - Film Studies,London,United Kingdom,Europe,22432
IES Abroad London - Full-Time Semester Internship,London,United Kingdom,Europe,12990
IES Abroad London - Literature & Arts,London,United Kingdom,Europe,22432
IES Abroad London - Social Sciences & Sustainability,London,United Kingdom,Europe,22432
IES Abroad London - Theater Studies,London,United Kingdom,Europe,22432
"IES Abroad London Direct Enrollment - City St. George's, University of London",London,United Kingdom,Europe,23950
"IES Abroad London Direct Enrollment - Queen Mary, University of London",London,United Kingdom,Europe,21900
IES Abroad Milan - Fashion Design & Merchandising,Milan,Italy,Europe,21913
IES Abroad Milan - Full-Time Semester Internship,Milan,Italy,Europe,11650
IES Abroad Milan - Italy Today,Milan,Italy,Europe,21913
"IES Abroad Milan - Music: Voice, Composition & Instrumental",Milan,Italy,Europe,21913
IES Abroad Multi-location - Emerging Economies: Buenos Aires & Santiago,Multiple,Multiple,Multiple,19950
IES Abroad Nantes - French Language Immersion & Area Studies,Nantes,France,Europe,20990
"IES Abroad Nice - Business, Sustainability & Immigration",Nice,France,Europe,19800
IES Abroad Nice Direct Enrollment‚ SKEMA Business School,Nice,France,Europe,19800
IES Abroad Paris - Arts & Culture,Paris,France,Europe,20959
IES Abroad Paris - Psychology & Social Sciences,Paris,France,Europe,20959
IES Abroad Quito - Area Studies & Language,Quito,Ecuador,South America,21838
IES Abroad Quito Direct Enrollment - Universidad San Francisco de Quito,Quito,Ecuador,South America,21838
IES Abroad Rabat - Study in Rabat,Rabat,Morocco,North Africa,20390
IES Abroad Rome - Art History & Fashion,Rome,Italy,Europe,21290
IES Abroad Rome - Early Childhood Education,Rome,Italy,Europe,21290
IES Abroad Rome - Film & Media Studies,Rome,Italy,Europe,21290
IES Abroad Rome - Full-Time Semester Internship,Rome,Italy,Europe,9534
IES Abroad Rome - History & Classics,Rome,Italy,Europe,21290
IES Abroad Rome - International Relations,Rome,Italy,Europe,21290
IES Abroad Rome - Sociology & Religion,Rome,Italy,Europe,21290
IES Abroad Salamanca - Language & Area Studies,Salamanca,Spain,Europe,15913
IES Abroad Salamanca - Psychology,Salamanca,Spain,Europe,15913
IES Abroad Santiago - Health Studies,Santiago,Chile,South America,17990
"IES Abroad Santiago - Politics, Social Justice & Language",Santiago,Chile,South America,17990
IES Abroad Seoul Direct Enrollment - Korea University,Seoul,South Korea,Asia,17990
IES Abroad Seoul Direct Enrollment - Yonsei University,Seoul,South Korea,Asia,17990
IES Abroad Siena - Business & Economics of Italian Food & Wine,Siena,Italy,Europe,19717
IES Abroad Siena - Study in Tuscany,Siena,Italy,Europe,19717
IES Abroad Sydney Direct Enrollment - University of New South Wales,Sydney,Australia,Australia/Pacific Islands,23680
IES Abroad Sydney Direct Enrollment - University of New South Wales trimester,Sydney,Australia,Australia/Pacific Islands,17965
IES Abroad Sydney Direct Enrollment - University of Sydney,Sydney,Australia,Australia/Pacific Islands,24950
"IES Abroad Vienna - Business, Economics & International Relations",Vienna,Austria,Europe,24250
IES Abroad Vienna - European Society & Culture,Vienna,Austria,Europe,24250
IES Abroad Vienna - Music,Vienna,Austria,Europe,24250
IES Abroad Vienna - Psychology & Social Sciences,Vienna,Austria,Europe,24250
"CIEE Engineering, Technology, and Sciences",Buenos Aires,Argentina,South America,14950
CIEE January in Buenos Aires,Buenos Aires,Argentina,South America,3950
CIEE Liberal Arts,Buenos Aires,Argentina,South America,14950
CIEE Open Campus Block,Buenos Aires,Argentina,South America,5500
CIEE Open Campus Block (2 Blocks),Buenos Aires,Argentina,South America,11000
CIEE Open Campus Block (3 Blocks),Buenos Aires,Argentina,South America,16500
CIEE Semester Global Internship,Buenos Aires,Argentina,South America,8950
CIEE Semester in Buenos Aires,Buenos Aires,Argentina,South America,14950
CIEE Semester Intern + Study Abroad,Buenos Aires,Argentina,South America,10950
CIEE Summer Community Public Health,Buenos Aires,Argentina,South America,8750
CIEE Summer Global Internship,Buenos Aires,Argentina,South America,6950
CIEE Summer Intern + Study,Buenos Aires,Argentina,South America,5950
CIEE Summer Spanish Language,Buenos Aires,Argentina,South America,8750
CIEE Sustainable Smart Cities,Buenos Aires,Argentina,South America,14950
CIEE Arts & Sciences at Monash University,Melbourne,Australia,Australia/Pacific Islands,21950
CIEE Arts & Sciences at University of Melbourne,Melbourne,Australia,Australia/Pacific Islands,25950
"CIEE Engineering, Technology, and Sciences",Melbourne,Australia,Australia/Pacific Islands,20950
CIEE Semester Global Internship,Melbourne,Australia,Australia/Pacific Islands,10950
CIEE Semester in Melbourne,Melbourne,Australia,Australia/Pacific Islands,20950
CIEE Semester Intern + Study Abroad,Melbourne,Australia,Australia/Pacific Islands,12950
CIEE Arts & Sciences at University of Sydney,Sydney,Australia,Australia/Pacific Islands,24950
CIEE Arts & Sciences at University of Technology Sydney,Sydney,Australia,Australia/Pacific Islands,21950
